,City,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Country
302,Saldanha,7,1659489410,91,-33.0117,17.9442,51.85,7.61,ZA
303,Tabuk,100,1659489871,87,17.4189,121.4443,77.43,4.41,PH
304,Begūn,100,1659489872,81,24.9833,75.0,79.14,4.47,IN
305,Sakakah,3,1659489872,18,29.9697,40.2064,87.37,11.81,SA
306,Vytegra,94,1659489873,98,61.0064,36.4481,56.17,5.35,RU
307,Kushiro,75,1659489404,100,42.975,144.3747,63.55,3.44,JP
308,Okitipupa,10,1659489873,96,6.5047,4.7839,70.07,2.17,NG
309,Zunheboto,100,1659489874,98,25.9667,94.5167,67.37,1.99,IN
310,Dhidhdhoo,100,1659489689,79,6.8833,73.1,80.74,22.03,MV
311,Khirkiya,100,1659489875,88,22.1674,76.8605,78.06,3.0,IN
312,Chyorny Yar,100,1659489876,34,48.0624,46.1091,78.4,5.86,RU
313,Ţahţā,89,1659489877,33,26.7693,31.5021,84.83,8.23,EG
314,Tiksi,100,1659489878,85,71.6872,128.8694,40.08,5.86,RU
315,Sinnamary,100,1659489878,87,5.3833,-52.95,78.35,9.24,GF
316,Rupert,0,1659489879,39,42.6191,-113.6772,82.35,9.22,US
317,Bilibino,100,1659489416,81,68.0546,166.4372,55.76,5.99,RU
318,Pacific Grove,40,1659489880,85,36.6177,-121.9166,80.55,10.36,US
319,Vardø,100,1659489550,100,70.3705,31.1107,51.78,12.66,NO
320,Pokhara,100,1659489655,92,28.2333,83.9833,72.3,0.85,NP
321,Sobolevo,100,1659489655,93,54.4299,31.8996,60.31,7.83,RU
322,Mackay,8,1659489882,83,-21.15,149.2,77.68,11.23,AU
323,Half Moon Bay,100,1659489442,73,37.4636,-122.4286,84.54,21.85,US
324,Thabazimbi,52,1659489882,75,-24.5917,27.4116,55.2,4.88,ZA
325,Batagay,100,1659489883,85,67.6333,134.6333,50.52,2.66,RU
326,Amargosa,14,1659489884,98,-13.0303,-39.6047,62.64,4.03,BR
327,Tavda,6,1659489884,82,58.0425,65.2726,52.99,3.44,RU
328,Nurobod,30,1659489885,47,40.9056,69.8023,71.87,4.38,UZ
329,Howick,97,1659489885,64,-29.4779,30.2306,52.39,4.61,ZA
330,Auki,14,1659489886,63,-8.7676,160.7034,86.04,4.72,SB
331,Clarence Town,50,1659489886,53,-32.5833,151.7833,63.81,4.27,AU
